No. of Cycl,Time,Speed,Lat,Lon
1,1979-11-25 00:00:00,25.0,7.0,86.0
1,1979-11-25 06:00:00,25.0,7.9,85.8
1,1979-11-25 12:00:00,25.0,8.8,85.5
1,1979-11-25 18:00:00,25.0,9.7,85.1
1,1979-11-26 00:00:00,30.0,10.4,84.4
1,1979-11-26 06:00:00,30.0,10.3,83.0
1,1979-11-26 12:00:00,35.0,10.0,81.5
1,1979-11-26 18:00:00,35.0,9.9,80.7
1,1979-11-27 00:00:00,35.0,9.8,80.0
1,1979-11-27 06:00:00,40.0,9.9,79.4
1,1979-11-27 12:00:00,45.0,10.1,78.9
1,1979-11-27 18:00:00,45.0,10.2,78.5
1,1979-11-28 00:00:00,50.0,10.3,78.0
1,1979-11-28 06:00:00,50.0,10.7,77.5
1,1979-11-28 12:00:00,55.0,11.1,76.9
1,1979-11-28 18:00:00,55.0,11.4,76.2
1,1979-11-29 00:00:00,60.0,11.7,75.5
1,1979-11-29 06:00:00,65.0,12.0,74.8
1,1979-11-29 12:00:00,70.0,12.2,74.0
1,1979-11-29 18:00:00,85.0,12.5,73.3
1,1979-11-30 00:00:00,100.0,12.8,72.5
1,1979-11-30 06:00:00,100.0,13.3,71.9
1,1979-11-30 12:00:00,100.0,13.9,71.5
1,1979-11-30 18:00:00,100.0,14.8,72.1
1,1979-12-01 00:00:00,100.0,15.8,72.5
1,1979-12-01 06:00:00,95.0,16.5,71.8
1,1979-12-01 12:00:00,90.0,17.0,71.0
1,1979-12-01 18:00:00,85.0,17.2,70.3
1,1979-12-02 00:00:00,80.0,17.5,69.5
1,1979-12-02 06:00:00,80.0,17.7,68.7
1,1979-12-02 12:00:00,80.0,18.0,68.0
1,1979-12-02 18:00:00,75.0,18.4,67.9
1,1979-12-03 00:00:00,65.0,18.9,67.9
1,1979-12-03 06:00:00,60.0,19.5,67.9
1,1979-12-03 12:00:00,60.0,20.1,67.8
1,1979-12-03 18:00:00,60.0,20.7,67.8
1,1979-12-04 00:00:00,60.0,21.3,67.7
1,1979-12-04 06:00:00,55.0,21.8,67.5
1,1979-12-04 12:00:00,45.0,22.3,67.2
1,1979-12-04 18:00:00,45.0,22.6,67.1
1,1979-12-05 00:00:00,45.0,23.0,67.0
1,1979-12-05 06:00:00,40.0,23.9,66.9
1,1979-12-05 12:00:00,35.0,25.2,66.9
1,1979-12-05 18:00:00,30.0,26.8,68.0
1,1979-12-06 00:00:00,25.0,28.3,70.0
1,1979-12-06 06:00:00,25.0,29.5,72.0
2,1979-12-10 00:00:00,25.0,8.6,90.8
2,1979-12-10 06:00:00,30.0,9.4,91.7
2,1979-12-10 12:00:00,30.0,9.8,92.0
2,1979-12-10 18:00:00,30.0,9.9,91.7
2,1979-12-11 00:00:00,30.0,10.0,91.3
2,1979-12-11 06:00:00,30.0,10.3,91.1
2,1979-12-11 12:00:00,30.0,10.5,90.8
2,1979-12-11 18:00:00,30.0,10.7,90.1
2,1979-12-12 00:00:00,30.0,10.8,89.5
2,1979-12-12 06:00:00,30.0,10.6,89.3
2,1979-12-12 12:00:00,30.0,10.4,89.0
2,1979-12-12 18:00:00,35.0,10.3,88.8
2,1979-12-13 00:00:00,40.0,10.3,88.5
2,1979-12-13 06:00:00,40.0,10.3,88.2
2,1979-12-13 12:00:00,45.0,10.3,87.9
2,1979-12-13 18:00:00,45.0,10.2,87.6
2,1979-12-14 00:00:00,50.0,10.0,87.2
2,1979-12-14 06:00:00,50.0,9.8,86.9
2,1979-12-14 12:00:00,55.0,9.5,86.5
2,1979-12-14 18:00:00,55.0,9.3,86.0
2,1979-12-15 00:00:00,60.0,9.0,85.5
2,1979-12-15 06:00:00,65.0,9.1,85.1
2,1979-12-15 12:00:00,70.0,9.5,84.8
2,1979-12-15 18:00:00,80.0,9.7,84.6
2,1979-12-16 00:00:00,85.0,9.9,84.5
2,1979-12-16 06:00:00,90.0,10.2,84.4
2,1979-12-16 12:00:00,90.0,10.6,84.3
2,1979-12-16 18:00:00,90.0,10.7,84.2
2,1979-12-17 00:00:00,90.0,10.9,84.1
2,1979-12-17 06:00:00,100.0,11.2,83.5
2,1979-12-17 12:00:00,110.0,11.5,82.5
2,1979-12-17 18:00:00,110.0,11.8,81.6
2,1979-12-18 00:00:00,110.0,12.0,80.5
2,1979-12-18 06:00:00,110.0,12.1,79.3
2,1979-12-18 12:00:00,110.0,12.2,78.1
2,1979-12-18 18:00:00,110.0,12.5,77.0
2,1979-12-19 00:00:00,110.0,12.7,75.8
2,1979-12-19 06:00:00,110.0,12.8,74.5
2,1979-12-19 12:00:00,110.0,12.9,73.2
2,1979-12-19 18:00:00,105.0,13.1,72.1
2,1979-12-20 00:00:00,100.0,13.3,71.0
2,1979-12-20 06:00:00,100.0,13.4,69.7
2,1979-12-20 12:00:00,100.0,13.6,68.2
2,1979-12-20 18:00:00,100.0,13.9,66.6
2,1979-12-21 00:00:00,100.0,14.3,64.9
2,1979-12-21 06:00:00,95.0,14.8,63.5
2,1979-12-21 12:00:00,90.0,15.5,62.2
2,1979-12-21 18:00:00,85.0,16.2,61.1
2,1979-12-22 00:00:00,85.0,17.0,60.2
2,1979-12-22 06:00:00,85.0,17.7,59.5
2,1979-12-22 12:00:00,85.0,18.5,58.8
2,1979-12-22 18:00:00,75.0,19.4,58.1
2,1979-12-23 00:00:00,70.0,20.5,57.5
2,1979-12-23 06:00:00,70.0,21.7,57.1
2,1979-12-23 12:00:00,70.0,22.9,57.2
2,1979-12-23 18:00:00,70.0,24.1,57.5
2,1979-12-24 00:00:00,70.0,25.3,57.9
2,1979-12-24 06:00:00,70.0,26.4,58.3
2,1979-12-24 12:00:00,65.0,27.5,58.8
2,1979-12-24 18:00:00,60.0,28.8,59.6
2,1979-12-25 00:00:00,55.0,30.0,60.8
2,1979-12-25 06:00:00,50.0,30.7,62.3
2,1979-12-25 12:00:00,45.0,30.9,63.8
2,1979-12-25 18:00:00,45.0,30.7,64.4
2,1979-12-26 00:00:00,40.0,30.5,65.0
2,1979-12-26 06:00:00,35.0,30.1,66.2
2,1979-12-26 12:00:00,35.0,29.8,67.8
2,1979-12-26 18:00:00,35.0,29.8,69.9
2,1979-12-27 00:00:00,30.0,30.5,72.0
2,1979-12-27 06:00:00,30.0,31.7,73.6
2,1979-12-27 12:00:00,30.0,32.9,74.7
2,1979-12-27 18:00:00,30.0,33.9,75.4
2,1979-12-28 00:00:00,30.0,35.0,76.2
2,1979-12-28 06:00:00,30.0,36.2,77.0
3,1979-12-15 12:00:00,35.0,17.0,53.0
3,1979-12-15 18:00:00,35.0,18.8,51.8
3,1979-12-16 00:00:00,35.0,20.2,51.0
3,1979-12-16 06:00:00,35.0,21.3,50.7
3,1979-12-16 12:00:00,35.0,22.1,50.5
3,1979-12-16 18:00:00,35.0,22.6,50.5
3,1979-12-17 00:00:00,35.0,22.9,50.5
3,1979-12-17 06:00:00,35.0,22.9,50.6
3,1979-12-17 12:00:00,35.0,23.0,50.8
3,1979-12-17 18:00:00,35.0,24.3,50.9
3,1979-12-18 00:00:00,35.0,25.8,51.0
3,1979-12-18 06:00:00,35.0,26.7,51.3
3,1979-12-18 12:00:00,35.0,27.3,52.2
3,1979-12-18 18:00:00,35.0,27.6,53.7
3,1979-12-19 00:00:00,35.0,27.6,55.3
3,1979-12-19 06:00:00,35.0,27.2,56.7
3,1979-12-19 12:00:00,35.0,26.8,58.2
3,1979-12-19 18:00:00,35.0,26.8,60.0
3,1979-12-20 00:00:00,35.0,27.2,62.0
3,1979-12-20 06:00:00,35.0,28.0,64.2
3,1979-12-20 12:00:00,35.0,28.9,66.7
3,1979-12-20 18:00:00,35.0,29.4,70.0
3,1979-12-21 00:00:00,35.0,30.0,73.5
3,1979-12-21 06:00:00,0.0,32.5,76.0
3,1979-12-21 12:00:00,0.0,37.0,78.0
4,1979-12-24 12:00:00,30.0,13.0,93.0
4,1979-12-24 18:00:00,30.0,12.6,92.5
4,1979-12-25 00:00:00,30.0,12.2,91.8
4,1979-12-25 06:00:00,30.0,11.8,90.9
4,1979-12-25 12:00:00,30.0,11.5,90.0
4,1979-12-25 18:00:00,30.0,11.4,89.6
4,1979-12-26 00:00:00,35.0,11.4,89.3
4,1979-12-26 06:00:00,35.0,11.6,89.0
4,1979-12-26 12:00:00,35.0,12.0,89.0
4,1979-12-26 18:00:00,35.0,13.0,89.7
4,1979-12-27 00:00:00,40.0,13.8,90.6
4,1979-12-27 06:00:00,40.0,14.1,90.9
4,1979-12-27 12:00:00,45.0,14.3,91.3
4,1979-12-27 18:00:00,45.0,14.5,91.7
4,1979-12-28 00:00:00,45.0,14.7,92.2
4,1979-12-28 06:00:00,50.0,15.3,92.6
4,1979-12-28 12:00:00,55.0,16.0,93.1
4,1979-12-28 18:00:00,55.0,16.5,93.0
4,1979-12-29 00:00:00,55.0,16.8,92.2
4,1979-12-29 06:00:00,50.0,16.6,91.2
4,1979-12-29 12:00:00,45.0,16.3,90.4
4,1979-12-29 18:00:00,40.0,16.5,89.9
4,1979-12-30 00:00:00,40.0,16.7,89.5
4,1979-12-30 06:00:00,40.0,16.5,89.1
4,1979-12-30 12:00:00,40.0,16.3,88.5
4,1979-12-30 18:00:00,40.0,16.4,87.6
4,1979-12-31 00:00:00,40.0,16.5,86.5
4,1979-12-31 06:00:00,45.0,16.3,85.6
4,1979-12-31 12:00:00,45.0,16.2,84.6
4,1979-12-31 18:00:00,40.0,16.1,83.3
4,1980-01-01 00:00:00,35.0,16.1,82.0
4,1980-01-01 06:00:00,35.0,16.1,81.0
4,1980-01-01 12:00:00,30.0,16.1,79.9
4,1980-01-01 18:00:00,30.0,16.1,78.6
4,1980-01-02 00:00:00,25.0,16.0,77.2
4,1980-01-02 06:00:00,25.0,15.8,76.0
4,1980-01-02 12:00:00,25.0,15.5,75.0
7,1980-01-04 12:00:00,40.0,13.2,120.0
7,1980-01-04 18:00:00,40.0,14.0,119.7
7,1980-01-05 00:00:00,40.0,14.5,119.5
7,1980-01-05 06:00:00,40.0,14.7,119.6
7,1980-01-05 12:00:00,40.0,14.8,119.6
7,1980-01-05 18:00:00,40.0,15.1,119.4
7,1980-01-06 00:00:00,45.0,15.2,119.0
7,1980-01-06 06:00:00,45.0,15.1,118.4
7,1980-01-06 12:00:00,50.0,15.0,118.0
7,1980-01-06 18:00:00,50.0,14.9,118.1
7,1980-01-07 00:00:00,55.0,14.8,118.2
7,1980-01-07 06:00:00,55.0,15.3,118.2
7,1980-01-07 12:00:00,60.0,16.1,118.3
7,1980-01-07 18:00:00,60.0,16.8,118.5
7,1980-01-08 00:00:00,65.0,17.5,118.8
7,1980-01-08 06:00:00,70.0,17.9,118.8
7,1980-01-08 12:00:00,75.0,18.2,118.8
7,1980-01-08 18:00:00,90.0,18.6,119.1
7,1980-01-09 00:00:00,100.0,19.0,119.3
7,1980-01-09 06:00:00,100.0,19.4,119.3
7,1980-01-09 12:00:00,90.0,19.8,119.3
7,1980-01-09 18:00:00,75.0,19.9,119.5
7,1980-01-10 00:00:00,60.0,19.9,119.7
7,1980-01-10 06:00:00,45.0,20.3,119.9
7,1980-01-10 12:00:00,30.0,21.0,120.0
7,1980-01-10 18:00:00,0.0,21.8,119.4
7,1980-01-11 00:00:00,0.0,22.7,117.8
8,1980-01-17 00:00:00,30.0,19.3,57.1
8,1980-01-17 06:00:00,40.0,19.5,56.6
8,1980-01-17 12:00:00,45.0,19.7,56.2
8,1980-01-17 18:00:00,50.0,19.8,55.9
8,1980-01-18 00:00:00,55.0,19.9,55.5
8,1980-01-18 06:00:00,55.0,20.1,54.9
8,1980-01-18 12:00:00,55.0,20.3,54.2
8,1980-01-18 18:00:00,55.0,20.1,53.3
8,1980-01-19 00:00:00,55.0,19.7,52.5
8,1980-01-19 06:00:00,55.0,19.1,51.9
8,1980-01-19 12:00:00,60.0,18.5,51.5
8,1980-01-19 18:00:00,60.0,18.1,51.1
8,1980-01-20 00:00:00,60.0,17.8,50.8
8,1980-01-20 06:00:00,60.0,17.5,50.3
8,1980-01-20 12:00:00,55.0,17.3,49.8
8,1980-01-20 18:00:00,50.0,17.1,49.7
8,1980-01-21 00:00:00,50.0,16.9,49.9
8,1980-01-21 06:00:00,50.0,16.9,50.2
8,1980-01-21 12:00:00,50.0,17.3,50.5
